month,company_name,arr_usd
2025-03-01,Aurora Works,148847.55
2025-04-01,Aurora Works,159507.39
2025-05-01,Aurora Works,163242.86
2025-06-01,Aurora Works,166364.66
2023-01-01,Atlas Software,308849.17
2023-02-01,Atlas Software,303843.34
2023-03-01,Atlas Software,320975.09
2023-04-01,Atlas Software,301631.56
2023-05-01,Atlas Software,282129.53
2023-06-01,Atlas Software,281294.08
2023-07-01,Atlas Software,281499.04
2023-08-01,Atlas Software,299227.51
2023-09-01,Atlas Software,290965.38
2023-10-01,Atlas Software,295748.09
2023-11-01,Atlas Software,276837.42
2023-12-01,Atlas Software,282132.95
2024-01-01,Atlas Software,285642.52
2024-02-01,Atlas Software,269835.03
2024-03-01,Atlas Software,277394.02
2024-04-01,Atlas Software,259474.61
2024-05-01,Atlas Software,260721.79
2024-06-01,Atlas Software,257742.27
2024-07-01,Atlas Software,244456.05
2024-08-01,Atlas Software,263539.89
2024-09-01,Atlas Software,248602.69
2024-10-01,Atlas Software,252065.41
2024-11-01,Atlas Software,255258.11
2024-12-01,Atlas Software,252159.38
2025-01-01,Atlas Software,252185.85
2025-02-01,Atlas Software,240317.32
2025-03-01,Atlas Software,233916.14
2025-04-01,Atlas Software,235525.47
2025-05-01,Atlas Software,214247.47
2025-06-01,Atlas Software,214781.75
2023-01-01,Lambda AI,115963.05
2023-02-01,Lambda AI,116689.12
2023-03-01,Lambda AI,128910.59
2023-04-01,Lambda AI,150431.96
2023-05-01,Lambda AI,149151.51
2023-06-01,Lambda AI,169272.97
2023-07-01,Lambda AI,167311.78
2023-08-01,Lambda AI,186737.47
2023-09-01,Lambda AI,193200.11
2023-10-01,Lambda AI,214360.66
2023-11-01,Lambda AI,244270.87
2023-12-01,Lambda AI,230248.66
2024-01-01,Lambda AI,276811.8
2024-02-01,Lambda AI,294721.25
2024-03-01,Lambda AI,303815.22
2024-04-01,Lambda AI,312277.28
2024-05-01,Lambda AI,363182.54
2024-06-01,Lambda AI,378735.58
2024-07-01,Lambda AI,423096.57
2024-08-01,Lambda AI,450109.06
2024-09-01,Lambda AI,522071.93
2024-10-01,Lambda AI,513415.84
2024-11-01,Lambda AI,530043.68
2024-12-01,Lambda AI,605938.28
2025-01-01,Lambda AI,652726.47
2025-02-01,Lambda AI,741245.73
2025-03-01,Lambda AI,777321.41
2025-04-01,Lambda AI,816475.5
2025-05-01,Lambda AI,925456.51
2025-06-01,Lambda AI,871975.22
2023-01-01,Peak Insights,156847.05
2023-02-01,Peak Insights,159420.1
2023-03-01,Peak Insights,189053.77
2023-04-01,Peak Insights,193930.78
2023-05-01,Peak Insights,194454.21
2023-06-01,Peak Insights,213230.71
2023-07-01,Peak Insights,244190.65
2023-08-01,Peak Insights,268098.4
2023-09-01,Peak Insights,302890.23
2023-10-01,Peak Insights,337689.07
2023-11-01,Peak Insights,321993.49
2023-12-01,Peak Insights,320918.32
2024-01-01,Peak Insights,322825.8
2024-02-01,Peak Insights,391913.03
2024-03-01,Peak Insights,397086.36
2024-04-01,Peak Insights,433794.25
2024-05-01,Peak Insights,459611.15
2024-06-01,Peak Insights,503863.89
2024-07-01,Peak Insights,572037.54
2024-08-01,Peak Insights,585816.19
2024-09-01,Peak Insights,617159.69
2024-10-01,Peak Insights,631328.58
2024-11-01,Peak Insights,652921.01
2024-12-01,Peak Insights,744115.19
2025-01-01,Peak Insights,814053.31
2025-02-01,Peak Insights,950825.89
2025-03-01,Peak Insights,941076.95
2025-04-01,Peak Insights,1049854.72
2025-05-01,Peak Insights,1044260.59
2025-06-01,Peak Insights,1078339.91
2023-01-01,Rapid Solutions,150415.91
2023-02-01,Rapid Solutions,133249.65
2023-03-01,Rapid Solutions,147986.32
2023-04-01,Rapid Solutions,138620.88
2023-05-01,Rapid Solutions,155299.55
2023-06-01,Rapid Solutions,154591.09
2023-07-01,Rapid Solutions,153814.24
2023-08-01,Rapid Solutions,158136.35
2023-09-01,Rapid Solutions,156663.47
2023-10-01,Rapid Solutions,169242.97
2023-11-01,Rapid Solutions,165364.87
2023-12-01,Rapid Solutions,162360.22
2024-01-01,Rapid Solutions,165490.81
2024-02-01,Rapid Solutions,182258.71
2024-03-01,Rapid Solutions,199281.19
2024-04-01,Rapid Solutions,190296.14
2024-05-01,Rapid Solutions,191819.28
2024-06-01,Rapid Solutions,200053.11
2024-07-01,Rapid Solutions,214763.79
2024-08-01,Rapid Solutions,208321.2
2024-09-01,Rapid Solutions,206293.69
2024-10-01,Rapid Solutions,227190.63
2024-11-01,Rapid Solutions,224764.11
2024-12-01,Rapid Solutions,242187.45
2025-01-01,Rapid Solutions,232000.42
2025-02-01,Rapid Solutions,220595.53
2025-03-01,Rapid Solutions,223751.9
2025-04-01,Rapid Solutions,265762.66
2025-05-01,Rapid Solutions,272556.82
2025-06-01,Rapid Solutions,254181.89
2023-01-01,Lambda Insights,171793.46
2023-02-01,Lambda Insights,178574.41
2023-03-01,Lambda Insights,198337.52
2023-04-01,Lambda Insights,193624.36
2023-05-01,Lambda Insights,202984.27
2023-06-01,Lambda Insights,206999.42
2023-07-01,Lambda Insights,218153.01
2023-08-01,Lambda Insights,236040.68
2023-09-01,Lambda Insights,227705.26
2023-10-01,Lambda Insights,240509.51
2023-11-01,Lambda Insights,214960.77
2023-12-01,Lambda Insights,245600.32
2024-01-01,Lambda Insights,242403.91
2024-02-01,Lambda Insights,244286.57
2024-03-01,Lambda Insights,255661.68
2024-04-01,Lambda Insights,270276.51
2024-05-01,Lambda Insights,295481.86
2024-06-01,Lambda Insights,271170.0
2024-07-01,Lambda Insights,298997.31
2024-08-01,Lambda Insights,299446.26
2024-09-01,Lambda Insights,310275.01
2024-10-01,Lambda Insights,340507.45
2024-11-01,Lambda Insights,342270.99
2024-12-01,Lambda Insights,365519.19
2025-01-01,Lambda Insights,349453.87
2025-02-01,Lambda Insights,349410.34
2025-03-01,Lambda Insights,367949.25
2025-04-01,Lambda Insights,387141.44
2025-05-01,Lambda Insights,396654.34
2025-06-01,Lambda Insights,382247.29
2023-01-01,Silver Systems,259468.18
2023-02-01,Silver Systems,253216.8
2023-03-01,Silver Systems,222610.91
2023-04-01,Silver Systems,230217.8
2023-05-01,Silver Systems,217453.85
2023-06-01,Silver Systems,228713.14
2023-07-01,Silver Systems,240466.49
2023-08-01,Silver Systems,252129.67
2023-09-01,Silver Systems,230151.58
2023-10-01,Silver Systems,232082.76
2023-11-01,Silver Systems,215130.79
2023-12-01,Silver Systems,240118.21
2024-01-01,Silver Systems,230255.38
2024-02-01,Silver Systems,237797.36
2024-03-01,Silver Systems,234601.7
2024-04-01,Silver Systems,245297.79
2024-05-01,Silver Systems,225807.15
2024-06-01,Silver Systems,230434.14
2024-07-01,Silver Systems,276383.55
2024-08-01,Silver Systems,234759.17
2024-09-01,Silver Systems,238214.4
2024-10-01,Silver Systems,276418.43
2024-11-01,Silver Systems,291239.79
2024-12-01,Silver Systems,240478.76
2025-01-01,Silver Systems,251863.35
2025-02-01,Silver Systems,262140.12
2025-03-01,Silver Systems,281271.95
2025-04-01,Silver Systems,247223.66
2025-05-01,Silver Systems,258018.26
2025-06-01,Silver Systems,272591.81
2023-01-01,Grid Solutions,271917.64
2023-02-01,Grid Solutions,251619.87
2023-03-01,Grid Solutions,263509.6
2023-04-01,Grid Solutions,259716.23
2023-05-01,Grid Solutions,262819.82
2023-06-01,Grid Solutions,249309.84
2023-07-01,Grid Solutions,259067.19
2023-08-01,Grid Solutions,262462.5
2023-09-01,Grid Solutions,248485.05
2023-10-01,Grid Solutions,247647.1
2023-11-01,Grid Solutions,240844.76
2023-12-01,Grid Solutions,237087.94
2024-01-01,Grid Solutions,225565.52
2024-02-01,Grid Solutions,234624.14
2024-03-01,Grid Solutions,226860.74
2024-04-01,Grid Solutions,248558.26
2024-05-01,Grid Solutions,239558.19
2024-06-01,Grid Solutions,223431.93
2024-07-01,Grid Solutions,208101.72
2024-08-01,Grid Solutions,201669.06
2024-09-01,Grid Solutions,223326.52
2024-10-01,Grid Solutions,210769.33
2024-11-01,Grid Solutions,210264.13
2024-12-01,Grid Solutions,184989.47
2025-01-01,Grid Solutions,209312.2
2025-02-01,Grid Solutions,201924.4
2025-03-01,Grid Solutions,184054.66
2025-04-01,Grid Solutions,187808.93
2025-05-01,Grid Solutions,192349.1
2025-06-01,Grid Solutions,187871.97
2023-01-01,Nimble Cloud,187929.2
2023-02-01,Nimble Cloud,185544.56
2023-03-01,Nimble Cloud,191261.45
2023-04-01,Nimble Cloud,150242.62
2023-05-01,Nimble Cloud,164784.35
2023-06-01,Nimble Cloud,162762.06
2023-07-01,Nimble Cloud,158403.47
2023-08-01,Nimble Cloud,148210.72
2023-09-01,Nimble Cloud,133275.96
2023-10-01,Nimble Cloud,143678.17
2023-11-01,Nimble Cloud,148576.56
2023-12-01,Nimble Cloud,122170.66
2024-01-01,Nimble Cloud,133546.37
2024-02-01,Nimble Cloud,121821.04
2024-03-01,Nimble Cloud,119461.78
2024-04-01,Nimble Cloud,109830.45
2024-05-01,Nimble Cloud,110289.26
2024-06-01,Nimble Cloud,115572.64
2024-07-01,Nimble Cloud,108049.61
2024-08-01,Nimble Cloud,110376.1
2024-09-01,Nimble Cloud,104061.31
2024-10-01,Nimble Cloud,97168.43
2024-11-01,Nimble Cloud,100011.31
2024-12-01,Nimble Cloud,90953.15
2025-01-01,Nimble Cloud,89671.18
2025-02-01,Nimble Cloud,82071.93
2025-03-01,Nimble Cloud,80867.26
2025-04-01,Nimble Cloud,75259.73
2025-05-01,Nimble Cloud,79176.91
2025-06-01,Nimble Cloud,68691.14
2023-01-01,Rapid Systems,326855.66
2023-02-01,Rapid Systems,366123.36
2023-03-01,Rapid Systems,381064.28
2023-04-01,Rapid Systems,425510.72
2023-05-01,Rapid Systems,429278.75
2023-06-01,Rapid Systems,405211.78
2023-07-01,Rapid Systems,465435.44
2023-08-01,Rapid Systems,466842.88
2023-09-01,Rapid Systems,512949.93
2023-10-01,Rapid Systems,601442.12
2023-11-01,Rapid Systems,612727.51
2023-12-01,Rapid Systems,608515.87
2024-01-01,Rapid Systems,635640.31
2024-02-01,Rapid Systems,712186.45
2024-03-01,Rapid Systems,709101.69
2024-04-01,Rapid Systems,774855.26
2024-05-01,Rapid Systems,864665.62
2024-06-01,Rapid Systems,956303.38
2024-07-01,Rapid Systems,989256.93
2024-08-01,Rapid Systems,902661.88
2024-09-01,Rapid Systems,1099027.52
2024-10-01,Rapid Systems,1153696.16
2024-11-01,Rapid Systems,1245967.75
2024-12-01,Rapid Systems,1401010.93
2025-01-01,Rapid Systems,1234488.28
2025-02-01,Rapid Systems,1418484.95
2025-03-01,Rapid Systems,1598012.98
2025-04-01,Rapid Systems,1517881.36
2025-05-01,Rapid Systems,1879399.53
2025-06-01,Rapid Systems,1892795.49
2023-01-01,Lambda Data,350024.8
2023-02-01,Lambda Data,372258.11
2023-03-01,Lambda Data,375605.32
2023-04-01,Lambda Data,394663.86
2023-05-01,Lambda Data,415394.79
2023-06-01,Lambda Data,412030.06
2023-07-01,Lambda Data,449097.25
2023-08-01,Lambda Data,471730.62
2023-09-01,Lambda Data,509012.19
2023-10-01,Lambda Data,550972.96
2023-11-01,Lambda Data,522144.97
2023-12-01,Lambda Data,575635.32
2024-01-01,Lambda Data,653682.92
2024-02-01,Lambda Data,615661.12
2024-03-01,Lambda Data,644209.25
2024-04-01,Lambda Data,713006.0
2024-05-01,Lambda Data,772937.3
2024-06-01,Lambda Data,779643.65
2024-07-01,Lambda Data,873073.36
2024-08-01,Lambda Data,896998.12
2024-09-01,Lambda Data,941765.03
2024-10-01,Lambda Data,975817.65
2024-11-01,Lambda Data,1113719.61
2024-12-01,Lambda Data,1037403.44
2025-01-01,Lambda Data,990937.3
2025-02-01,Lambda Data,1249858.59
2025-03-01,Lambda Data,1187846.22
2025-04-01,Lambda Data,1284144.11
2025-05-01,Lambda Data,1429830.96
2025-06-01,Lambda Data,1296993.59
2023-01-01,Atlas Works,113124.57
2023-02-01,Atlas Works,121548.73
2023-03-01,Atlas Works,123224.6
2023-04-01,Atlas Works,122906.2
2023-05-01,Atlas Works,113750.83
2023-06-01,Atlas Works,109299.78
2023-07-01,Atlas Works,125099.87
2023-08-01,Atlas Works,122988.67
2023-09-01,Atlas Works,130091.56
2023-10-01,Atlas Works,132899.1
2023-11-01,Atlas Works,130522.82
2023-12-01,Atlas Works,135846.74
2024-01-01,Atlas Works,133644.85
2024-02-01,Atlas Works,136936.04
2024-03-01,Atlas Works,129937.28
2024-04-01,Atlas Works,134755.96
2024-05-01,Atlas Works,138634.73
2024-06-01,Atlas Works,144289.9
2024-07-01,Atlas Works,137180.72
2024-08-01,Atlas Works,144962.14
2024-09-01,Atlas Works,140742.54
2024-10-01,Atlas Works,143163.06
2024-11-01,Atlas Works,151423.86
2024-12-01,Atlas Works,132162.78
2025-01-01,Atlas Works,138594.81
2025-02-01,Atlas Works,138537.5
2025-03-01,Atlas Works,133437.98
2025-04-01,Atlas Works,147343.89
2025-05-01,Atlas Works,159752.04
2025-06-01,Atlas Works,153247.6
2023-01-01,Silver Dynamics,259303.35
2023-02-01,Silver Dynamics,252196.63
2023-03-01,Silver Dynamics,281211.33
2023-04-01,Silver Dynamics,275382.73
2023-05-01,Silver Dynamics,273346.84
2023-06-01,Silver Dynamics,288094.82
2023-07-01,Silver Dynamics,286144.62
2023-08-01,Silver Dynamics,307332.92
2023-09-01,Silver Dynamics,328730.59
2023-10-01,Silver Dynamics,362361.26
2023-11-01,Silver Dynamics,393756.37
2023-12-01,Silver Dynamics,351261.03
2024-01-01,Silver Dynamics,400430.75
2024-02-01,Silver Dynamics,387458.02
2024-03-01,Silver Dynamics,435476.84
2024-04-01,Silver Dynamics,439815.46
2024-05-01,Silver Dynamics,418579.98
2024-06-01,Silver Dynamics,501796.77
2024-07-01,Silver Dynamics,483985.71
2024-08-01,Silver Dynamics,505557.45
2024-09-01,Silver Dynamics,511677.91
2024-10-01,Silver Dynamics,544219.37
2024-11-01,Silver Dynamics,598083.04
2024-12-01,Silver Dynamics,603653.62
2025-01-01,Silver Dynamics,644680.25
2025-02-01,Silver Dynamics,672052.39
2025-03-01,Silver Dynamics,732375.56
2025-04-01,Silver Dynamics,702754.97
2025-05-01,Silver Dynamics,689200.25
2025-06-01,Silver Dynamics,815805.9
2023-01-01,Nimble Platforms,190199.43
2023-02-01,Nimble Platforms,198798.54
2023-03-01,Nimble Platforms,218316.0
2023-04-01,Nimble Platforms,252527.65
2023-05-01,Nimble Platforms,272333.56
2023-06-01,Nimble Platforms,265462.13
2023-07-01,Nimble Platforms,285936.98
2023-08-01,Nimble Platforms,320535.35
2023-09-01,Nimble Platforms,312361.18
2023-10-01,Nimble Platforms,355549.41
2023-11-01,Nimble Platforms,374517.51
2023-12-01,Nimble Platforms,408417.82
2024-01-01,Nimble Platforms,413203.59
2024-02-01,Nimble Platforms,425588.02
2024-03-01,Nimble Platforms,444365.69
2024-04-01,Nimble Platforms,501882.16
2024-05-01,Nimble Platforms,556930.12
2024-06-01,Nimble Platforms,602240.69
2024-07-01,Nimble Platforms,718857.35
2024-08-01,Nimble Platforms,741606.97
2024-09-01,Nimble Platforms,717289.3
2024-10-01,Nimble Platforms,822049.02
2024-11-01,Nimble Platforms,848767.05
2024-12-01,Nimble Platforms,915813.85
2025-01-01,Nimble Platforms,1005400.91
2025-02-01,Nimble Platforms,1101239.59
2025-03-01,Nimble Platforms,1125946.12
2025-04-01,Nimble Platforms,1293488.59
2025-05-01,Nimble Platforms,1241735.14
2025-06-01,Nimble Platforms,1412559.15
2023-01-01,Peak Bridge,865126.9
2023-02-01,Peak Bridge,824478.58
2023-03-01,Peak Bridge,858622.8
2023-04-01,Peak Bridge,845882.29
2023-05-01,Peak Bridge,855071.79
2023-06-01,Peak Bridge,842612.59
2023-07-01,Peak Bridge,910566.58
2023-08-01,Peak Bridge,867650.7
2023-09-01,Peak Bridge,951990.88
2023-10-01,Peak Bridge,987503.55
2023-11-01,Peak Bridge,969728.8
2023-12-01,Peak Bridge,954281.63
2024-01-01,Peak Bridge,1006604.54
2024-02-01,Peak Bridge,985213.65
2024-03-01,Peak Bridge,1064912.25
2024-04-01,Peak Bridge,939560.82
2024-05-01,Peak Bridge,1033851.56
2024-06-01,Peak Bridge,962599.99
2024-07-01,Peak Bridge,1005572.66
2024-08-01,Peak Bridge,1180265.29
2024-09-01,Peak Bridge,1173600.15
2024-10-01,Peak Bridge,1100947.85
2024-11-01,Peak Bridge,1073828.77
2024-12-01,Peak Bridge,1005426.44
2025-01-01,Peak Bridge,1167441.27
2025-02-01,Peak Bridge,1367690.85
2025-03-01,Peak Bridge,1267332.43
2025-04-01,Peak Bridge,1225739.7
2025-05-01,Peak Bridge,1311837.26
2025-06-01,Peak Bridge,1201652.59
2023-01-01,Peak Software,189020.18
2023-02-01,Peak Software,203918.28
2023-03-01,Peak Software,206190.14
2023-04-01,Peak Software,216449.23
2023-05-01,Peak Software,208978.96
2023-06-01,Peak Software,233677.84
2023-07-01,Peak Software,249910.65
2023-08-01,Peak Software,227205.02
2023-09-01,Peak Software,235791.72
2023-10-01,Peak Software,271992.59
2023-11-01,Peak Software,260937.45
2023-12-01,Peak Software,291343.73
2024-01-01,Peak Software,275080.54
2024-02-01,Peak Software,311824.12
2024-03-01,Peak Software,302335.44
2024-04-01,Peak Software,314374.74
2024-05-01,Peak Software,345798.35
2024-06-01,Peak Software,325397.65
2024-07-01,Peak Software,326319.0
2024-08-01,Peak Software,345904.85
2024-09-01,Peak Software,373898.58
2024-10-01,Peak Software,348232.38
2024-11-01,Peak Software,402840.68
2024-12-01,Peak Software,392536.51
2025-01-01,Peak Software,440766.13
2025-02-01,Peak Software,379166.52
2025-03-01,Peak Software,427576.34
2025-04-01,Peak Software,421127.62
2025-05-01,Peak Software,455598.3
2025-06-01,Peak Software,497144.33
2023-01-01,Quantum Cloud,199781.73
2023-02-01,Quantum Cloud,210985.28
2023-03-01,Quantum Cloud,205692.33
2023-04-01,Quantum Cloud,232597.68
2023-05-01,Quantum Cloud,240718.47
2023-06-01,Quantum Cloud,246301.06
2023-07-01,Quantum Cloud,257594.35
2023-08-01,Quantum Cloud,263777.38
2023-09-01,Quantum Cloud,297005.4
2023-10-01,Quantum Cloud,278366.0
2023-11-01,Quantum Cloud,285511.29
2023-12-01,Quantum Cloud,289398.37
2024-01-01,Quantum Cloud,295795.91
2024-02-01,Quantum Cloud,303345.56
2024-03-01,Quantum Cloud,320573.83
2024-04-01,Quantum Cloud,346708.28
2024-05-01,Quantum Cloud,366887.2
2024-06-01,Quantum Cloud,375209.87
2024-07-01,Quantum Cloud,373290.51
2024-08-01,Quantum Cloud,420676.89
2024-09-01,Quantum Cloud,432938.98
2024-10-01,Quantum Cloud,429547.61
2024-11-01,Quantum Cloud,434419.34
2024-12-01,Quantum Cloud,478524.23
2025-01-01,Quantum Cloud,487584.35
2025-02-01,Quantum Cloud,464704.08
2025-03-01,Quantum Cloud,517811.56
2025-04-01,Quantum Cloud,545927.8
2025-05-01,Quantum Cloud,533733.1
2025-06-01,Quantum Cloud,585124.76
2023-01-01,Vertex Analytics,113063.17
2023-02-01,Vertex Analytics,108299.29
2023-03-01,Vertex Analytics,115099.93
2023-04-01,Vertex Analytics,102471.03
2023-05-01,Vertex Analytics,113137.91
2023-06-01,Vertex Analytics,121942.8
2023-07-01,Vertex Analytics,120715.83
2023-08-01,Vertex Analytics,136158.44
2023-09-01,Vertex Analytics,149022.32
2023-10-01,Vertex Analytics,131428.48
2023-11-01,Vertex Analytics,137896.89
2023-12-01,Vertex Analytics,150080.42
2024-01-01,Vertex Analytics,165195.47
2024-02-01,Vertex Analytics,147935.14
2024-03-01,Vertex Analytics,164416.26
2024-04-01,Vertex Analytics,182612.6
2024-05-01,Vertex Analytics,158253.86
2024-06-01,Vertex Analytics,166398.97
2024-07-01,Vertex Analytics,179354.4
2024-08-01,Vertex Analytics,183935.23
2024-09-01,Vertex Analytics,202546.7
2024-10-01,Vertex Analytics,203027.4
2024-11-01,Vertex Analytics,188402.52
2024-12-01,Vertex Analytics,218578.89
2025-01-01,Vertex Analytics,213276.01
2025-02-01,Vertex Analytics,240771.88
2025-03-01,Vertex Analytics,225964.87
2025-04-01,Vertex Analytics,232781.37
2025-05-01,Vertex Analytics,254507.77
2025-06-01,Vertex Analytics,265139.83
2023-01-01,Bright Cloud,282994.01
2023-02-01,Bright Cloud,260923.95
2023-03-01,Bright Cloud,277959.34
2023-04-01,Bright Cloud,254775.37
2023-05-01,Bright Cloud,279989.1
2023-06-01,Bright Cloud,262424.72
2023-07-01,Bright Cloud,255519.71
2023-08-01,Bright Cloud,282336.34
2023-09-01,Bright Cloud,275473.14
2023-10-01,Bright Cloud,263420.21
2023-11-01,Bright Cloud,291030.44
2023-12-01,Bright Cloud,264952.79
2024-01-01,Bright Cloud,270936.6
2024-02-01,Bright Cloud,273714.87
2024-03-01,Bright Cloud,261310.02
2024-04-01,Bright Cloud,275590.12
2024-05-01,Bright Cloud,261660.11
2024-06-01,Bright Cloud,262889.71
2024-07-01,Bright Cloud,286257.8
2024-08-01,Bright Cloud,253661.27
2024-09-01,Bright Cloud,234938.03
2024-10-01,Bright Cloud,288241.58
2024-11-01,Bright Cloud,300291.83
2024-12-01,Bright Cloud,260541.02
2025-01-01,Bright Cloud,239804.58
2025-02-01,Bright Cloud,260991.05
2025-03-01,Bright Cloud,260907.95
2025-04-01,Bright Cloud,261776.41
2025-05-01,Bright Cloud,249186.96
2025-06-01,Bright Cloud,271102.95
2023-01-01,Rapid Metrics,296321.83
2023-02-01,Rapid Metrics,329365.39
2023-03-01,Rapid Metrics,314319.21
2023-04-01,Rapid Metrics,319647.82
2023-05-01,Rapid Metrics,336799.09
2023-06-01,Rapid Metrics,364779.61
2023-07-01,Rapid Metrics,337264.57
2023-08-01,Rapid Metrics,388364.54
2023-09-01,Rapid Metrics,394028.94
2023-10-01,Rapid Metrics,458010.4
2023-11-01,Rapid Metrics,433615.48
2023-12-01,Rapid Metrics,494420.38
2024-01-01,Rapid Metrics,449844.03
2024-02-01,Rapid Metrics,511317.88
2024-03-01,Rapid Metrics,526513.69
2024-04-01,Rapid Metrics,517179.99
2024-05-01,Rapid Metrics,569084.25
2024-06-01,Rapid Metrics,624180.24
2024-07-01,Rapid Metrics,604039.74
2024-08-01,Rapid Metrics,586370.65
2024-09-01,Rapid Metrics,667705.91
2024-10-01,Rapid Metrics,665765.62
2024-11-01,Rapid Metrics,714959.14
2024-12-01,Rapid Metrics,755806.24
2025-01-01,Rapid Metrics,724234.18
2025-02-01,Rapid Metrics,759305.42
2025-03-01,Rapid Metrics,882568.71
2025-04-01,Rapid Metrics,875607.39
2025-05-01,Rapid Metrics,817740.92
2025-06-01,Rapid Metrics,1017045.8
2023-01-01,Orbit Networks,235781.5
2023-02-01,Orbit Networks,260034.27
2023-03-01,Orbit Networks,251149.25
2023-04-01,Orbit Networks,273182.58
2023-05-01,Orbit Networks,246469.54
2023-06-01,Orbit Networks,243350.86
2023-07-01,Orbit Networks,234107.68
2023-08-01,Orbit Networks,242996.61
2023-09-01,Orbit Networks,238091.34
2023-10-01,Orbit Networks,242606.88
2023-11-01,Orbit Networks,219902.15
2023-12-01,Orbit Networks,218424.78
2024-01-01,Orbit Networks,215522.17
2024-02-01,Orbit Networks,226999.29
2024-03-01,Orbit Networks,232123.96
2024-04-01,Orbit Networks,208653.54
2024-05-01,Orbit Networks,206701.35
2024-06-01,Orbit Networks,212126.39
2024-07-01,Orbit Networks,203994.75
2024-08-01,Orbit Networks,213966.79
2024-09-01,Orbit Networks,179240.33
2024-10-01,Orbit Networks,191486.74
2024-11-01,Orbit Networks,189802.45
2024-12-01,Orbit Networks,172678.24
2025-01-01,Orbit Networks,183869.26
2025-02-01,Orbit Networks,182295.06
2025-03-01,Orbit Networks,187020.12
2025-04-01,Orbit Networks,197223.06
2025-05-01,Orbit Networks,182492.59
2025-06-01,Orbit Networks,173292.32
2023-01-01,Quantum Logic,203633.9
2023-02-01,Quantum Logic,195724.92
2023-03-01,Quantum Logic,201907.16
2023-04-01,Quantum Logic,186062.05
2023-05-01,Quantum Logic,186053.73
2023-06-01,Quantum Logic,172508.61
2023-07-01,Quantum Logic,171154.55
2023-08-01,Quantum Logic,150189.73
2023-09-01,Quantum Logic,151622.15
2023-10-01,Quantum Logic,143791.03
2023-11-01,Quantum Logic,130736.76
2023-12-01,Quantum Logic,122911.38
2024-01-01,Quantum Logic,132096.2
2024-02-01,Quantum Logic,120189.51
2024-03-01,Quantum Logic,111192.39
2024-04-01,Quantum Logic,111705.22
2024-05-01,Quantum Logic,113579.98
2024-06-01,Quantum Logic,91241.96
2024-07-01,Quantum Logic,91265.28
2024-08-01,Quantum Logic,90130.88
2024-09-01,Quantum Logic,97122.65
2024-10-01,Quantum Logic,87921.74
2024-11-01,Quantum Logic,86230.18
2024-12-01,Quantum Logic,75010.64
2025-01-01,Quantum Logic,71928.92
2025-02-01,Quantum Logic,74618.02
2025-03-01,Quantum Logic,70112.65
2025-04-01,Quantum Logic,68800.88
2025-05-01,Quantum Logic,63540.45
2025-06-01,Quantum Logic,62294.39
2023-01-01,Grid AI,248004.51
2023-02-01,Grid AI,213487.39
2023-03-01,Grid AI,200938.26
2023-04-01,Grid AI,231646.96
2023-05-01,Grid AI,227734.75
2023-06-01,Grid AI,198792.82
2023-07-01,Grid AI,185154.26
2023-08-01,Grid AI,199913.19
2023-09-01,Grid AI,202874.11
2023-10-01,Grid AI,205883.88
2023-11-01,Grid AI,188836.75
2023-12-01,Grid AI,176053.07
